,start,stop,strand,gene_name,length,,gene_product,evidence,PMID_list,confidence,all_bnumber,regulonDB_geneID
b0986,1048688,1049332,-,gfcB,644,,lipoprotein GfcB,,,,b0986,ECK120003107
b0987,1049439,1049744,-,gfcA,305,,threonine-rich inner membrane protein GfcA,,,,b0987,ECK120003108
,1049833,1050530,+,insAB4,697,,InsAB' transposase,[IMP|W|Inferred from mutant phenotype],"8083181,",Weak,,ECK120023912
b4516,1049833,1050108,+,insA4,275,,IS1 protein InsA,,,,b4516,ECK120016282
b0988,1050027,1050530,+,insB4,503,,IS1 protein InsB,[IMP|W|Inferred from mutant phenotype],"8083181,",Weak,b0988,ECK120003109
b0989,1050963,1051175,-,cspH,212,,CspA family protein CspH,,"21700661,32162674,32753505,",,b0989,ECK120003110
b0990,1051461,1051673,+,cspG,212,,cold shock protein CspG,"[IGI|W|Inferred from genetic interaction],[IEP|W|Inferred from expression pattern]","11298285,19824539,21700661,25637299,32162674,32753505,8631696,",Weak,b0990,ECK120003111
b4723,1051684,1051872,+,ymcF,188,,protein YmcF,,,,b4723,ECK125256966
b0991,1051847,1052077,+,ymcE,230,,protein YmcE,,,,b0991,ECK120003112
b4517,1052067,1052240,+,gnsA,173,,putative phosphatidylethanolamine synthesis regulator GnsA,,,,b4517,ECK120002666
b0992,1052289,1053362,-,yccM,1073,,putative electron transport protein YccM,,,,b0992,ECK120003113
b0993,1053434,1056178,-,torS,2744,,sensory histidine kinase TorS,[IMP|W|Inferred from mutant phenotype],"19748340,8809780,",Weak,b0993,ECK120003114
b0994,1056261,1057289,+,torT,1028,,periplasmic trimethylamine-N-oxide binding protein,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity]","17040909,8576063,",Strong,b0994,ECK120003115
b0995,1057262,1057954,-,torR,692,,DNA-binding transcriptional dual regulator TorR,,,,b0995,ECK120002334
b0996,1058084,1059256,+,torC,1172,,cytochrome  menaquinol dehydrogenase TorC,,,,b0996,ECK120001748
b0997,1059256,1061802,+,torA,2546,,trimethylamine -oxide reductase 1,,"29334455,29593092,29947971,",,b0997,ECK120001747
b0998,1061799,1062398,+,torD,599,,trimethylamine-N-oxide reductase-specific chaperone,[IE|W|Inferred from experiment],,Weak,b0998,ECK120002084
b0999,1062550,1062855,-,cbpM,305,,chaperone modulator CbpM,[APPH|S|Assay of protein purified  to homogeneity],"15184371,",Strong,b0999,ECK120002083
b1000,1062855,1063775,-,cbpA,920,,curved DNA-binding protein,"[IDA|S|Inferred from direct assay],[IGI|W|Inferred from genetic interaction],[APPH|S|Assay of protein purified  to homogeneity]","10947847,15184371,15489435,15792799,16973605,17337578,18502857,20226195,20633229,2126011,21683710,23341772,23651594,24945826,25670677,8302830,",Strong,b1000,ECK120002082
b1001,1064036,1065292,+,yccE,1256,,uncharacterized protein YccE,,"24391520,",,b1001,ECK120002085
b1002,1065585,1066826,+,agp,1241,,glucose-1-phosphatase,,"2153660,2542226,2844729,",,b1002,ECK120000030
b1003,1066864,1067091,-,yccJ,227,,PF13993 family protein YccJ,,,,b1003,ECK120002362
b1004,1067112,1067708,-,wrbA,596,,NAD(P)H:quinone oxidoreductase,,"20409720,25403562,",,b1004,ECK120001494
b1005,1067918,1068148,+,ycdF,230,,,,,,b1005,ECK120003116
b4518,1068081,1068254,+,ymdF,173,,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,,"30373755,",,b4518,ECK120016295
b1006,1068511,1069839,-,rutG,1328,,pyrimidine:H symporter,,"31438868,",,b1006,ECK120003117
b1007,1069860,1070354,-,rutF,494,,FMN reductase RutF,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern],[HIFS|W|Human inference of function from sequence]","11121068,16540542,",Weak,b1007,ECK120003118
b1008,1070365,1070955,-,rutE,590,,putative malonic semialdehyde reductase,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern],[HIFS|W|Human inference of function from sequence]","11121068,16540542,",Weak,b1008,ECK120003119
b1009,1070965,1071765,-,rutD,800,,putative aminoacrylate hydrolase RutD,,,,b1009,ECK120003120
b1010,1071773,1072159,-,rutC,386,,putative aminoacrylate peracid reductase RutC,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]","11121068,16540542,",Weak,b1010,ECK120003121
b1011,1072171,1072863,-,rutB,692,,peroxyureidoacrylate/ureidoacrylate amidohydrolase,,,,b1011,ECK120003122
b1012,1072863,1074011,-,rutA,1148,,pyrimidine monooxygenase RutA,,"31072497,",,b1012,ECK120003123
b1013,1074242,1074880,+,rutR,638,,DNA-binding transcriptional dual regulator RutR,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[HIFS|W|Human inference of function from sequence],[AIFS|W|Automated inference of function from sequence]","15556475,16540542,17919280,",Strong,b1013,ECK120002180
b1014,1074920,1078882,-,putA,3962,,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA,,"11294639,",,b1014,ECK120000792
b4737,1079120,1079146,+,ymdG,26,,protein YmdG,,,,b4737,ECK125276511
b1015,1079305,1080813,+,putP,1508,,proline:Na symporter,,"10521259,12923181,9109673,9753469,",,b1015,ECK120000793
b4490,1081356,1082185,+,efeU,829,,inactive ferrous iron permease EfeU,,"15066794,16199566,",,"b1016,b1017,b4490",ECK120003124
b1018,1082243,1083370,+,efeO,1127,,ferrous iron transport system protein EfeO,,"12746439,15601715,",,b1018,ECK120003125
b1019,1083376,1084647,+,efeB,1271,,heme-containing peroxidase/deferrochelatase,,"16321939,",,b1019,ECK120001674
b1020,1084992,1086056,+,phoH,1064,,ATP-binding protein PhoH,,,,b1020,ECK120001673
b1021,1086106,1086519,-,pgaD,413,,poly--acetyl-D-glucosamine synthase subunit PgaD,,,,b1021,ECK120003126
b1022,1086521,1087846,-,pgaC,1325,,poly--acetyl-D-glucosamine synthase subunit PgaC,,,,b1022,ECK120003127
b1023,1087839,1089857,-,pgaB,2018,,"poly-&beta;-1,6--deacetylase and &beta;-1,6 glycoside hydrolase",,"16321928,31642455,",,b1023,ECK120003128
b1024,1089866,1092289,-,pgaA,2423,,"partially deacetylated poly-&beta;-1,6--acetyl-D-glucosamine outer membrane porin",,"16321928,26957546,31915750,",,b1024,ECK120003129
b1025,1092876,1094234,+,dgcT,1358,,probable diguanylate cyclase DgcT,,"23202856,23666921,",,b1025,ECK120003130
b1026,1094275,1095141,-,insF4,866,,IS3 element protein InsF,,,,b1026,ECK120003131
,1094275,1095437,-,insEF4,1162,,IS3 element transposase,,,,,ECK120023910
b1027,1095138,1095437,-,insE4,299,,IS3 element protein InsE,,,,b1027,ECK120003132
b1028,1095544,1095846,+,ymdE,302,,putative uncharacterized protein YmdE,,,,b1028,ECK120003133
b1029,1095843,1096829,+,ycdU,986,,uncharacterized protein YcdU,,,,b1029,ECK120003134
b1032,1097565,1097652,-,serX,87,,tRNA-Ser(GGA),[TAS|W|Traceable author statement],"7033244,",Weak,b1032,ECK120002539
b1033,1097886,1098824,+,ghrA,938,,glyoxylate/hydroxypyruvate reductase A,,"27702485,29494135,",,b1033,ECK120003135
b1034,1098879,1099616,+,ycdX,737,,zinc-binding phosphatase YcdX,,,,b1034,ECK120003136
b1035,1099640,1100194,+,ycdY,554,,chaperone protein YcdY,,,,b1035,ECK120003137
b1036,1100296,1100787,+,ycdZ,491,,inner membrane protein YcdZ,,"23028500,",,b1036,ECK120003138
b1037,1100851,1101684,-,csgG,833,,curli secretion channel,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]","12876315,15174130,16420357,30444973,8817489,",Strong,b1037,ECK120003139
b1038,1101711,1102127,-,csgF,416,,curli assembly component CsgF,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity]","29427517,8817489,",Strong,b1038,ECK120003140
b1039,1102152,1102541,-,csgE,389,,curli assembly component CsgE,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]","25219853,26418947,8817489,",Strong,b1039,ECK120003141
b1040,1102546,1103196,-,csgD,650,,DNA-binding transcriptional dual regulator CsgD,[IE|W|Inferred from experiment],,Weak,b1040,ECK120003142
b1041,1103951,1104406,+,csgB,455,,"curlin, minor subunit","[IMP|W|Inferred from mutant phenotype],[APPHINH|S|Assay of protein purified to homogeneity from its native host]","17636121,19574225,24097954,30271935,30918257,8817489,",Strong,b1041,ECK120003143
b1042,1104447,1104902,+,csgA,455,,"curlin, major subunit",[IDA|S|Inferred from direct assay],"11823641,1357528,17636121,28138525,30018113,30271935,30338995,31003987,31469892,31915750,31932609,32490204,32528432,8459772,9383186,",Strong,b1042,ECK120001445
b1043,1104961,1105293,+,csgC,332,,curlin chaperone,,"21206057,",,b1043,ECK120003144
b1044,1105414,1105725,+,ymdA,311,,uncharacterized protein YmdA,[IMP|W|Inferred from mutant phenotype],"29150605,32934077,",Weak,b1044,ECK120003145
b1045,1105820,1106353,+,ymdB,533,,"2'--acetyl-ADP-ribose deacetylase, regulator of RNase III activity",,,,b1045,ECK120003146
b1046,1106355,1107776,+,clsC,1421,,cardiolipin synthase C,,,,b1046,ECK120003147
b1047,1107784,1108941,-,opgC,1157,,osmoregulated periplasmic glucans biosynthesis protein C,[IGI|W|Inferred from genetic interaction],"10368134,",Weak,b1047,ECK120003148
b1048,1109335,1110870,+,opgG,1535,,osmoregulated periplasmic glucans (OPGs) biosynthesis protein G,[IMP|W|Inferred from mutant phenotype],"1370954,15313617,1834913,325003,330527,385596,6238027,",Weak,b1048,ECK120001815
b1049,1110863,1113406,+,opgH,2543,,osmoregulated periplasmic glucans (OPGs) biosynthesis protein H,[IE|W|Inferred from experiment],"9352918,",Weak,b1049,ECK120001816
b1050,1113579,1113806,+,yceK,227,,DUF1375 domain-containing lipoprotein YceK,,,,b1050,ECK120002354
b1051,1113807,1114181,-,msyB,374,,acidic protein MsyB,,,,b1051,ECK120001309
b1052,1114211,1114309,-,b1052,98,,,,,,,ECK120003149
b1053,1114264,1115490,-,mdtG,1226,,efflux pump MdtG,,"31438868,",,b1053,ECK120001314
b1054,1115662,1116582,-,lpxL,920,,lauroyl acyltransferase,,,,b1054,ECK120000457
b1055,1116807,1117859,+,trhO,1052,,tRNA U34 hydroxylase TrhO,[IMP|W|Inferred from mutant phenotype],"31253794,",Weak,b1055,ECK120001100
b1056,1117901,1118476,-,yceI,575,,protein YceI,,,,b1056,ECK120001752
b1057,1118480,1119046,-,yceJ,566,,putative cytochrome b561 YceJ,,,,b1057,ECK120003150
b1058,1119307,1119447,-,yceO,140,,DUF2770 domain-containing protein YceO,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]","16385049,19734312,",Weak,b1058,ECK120003151
b1059,1119468,1120586,-,solA,1118,,#NAME?,,,,b1059,ECK120003152
b1060,1120701,1120955,-,bssS,254,,regulator of biofilm formation,[IMP|W|Inferred from mutant phenotype],"14731270,16597943,",Weak,b1060,ECK120003153
b1061,1121242,1121487,-,dinI,245,,DNA damage-inducible protein I,[IE|W|Inferred from experiment],,Weak,b1061,ECK120003154
b1062,1121561,1122607,-,pyrC,1046,,dihydroorotase,,,,b1062,ECK120000797
b1063,1122713,1123273,-,yceB,560,,putative lipid-binding lipoprotein YceB,,"21787343,",,b1063,ECK120001101
b1064,1123407,1124054,-,grxB,647,,reduced glutaredoxin 2,[IDA|S|Inferred from direct assay],"10593884,17401194,9111025,9989580,",Strong,b1064,ECK120002353
b1065,1124118,1125326,-,mdtH,1208,,multidrug efflux pump MdtH,,,,b1065,ECK120003155
b1066,1125562,1126146,+,rimJ,584,,ribosomal-protein-S5-alanine -acetyltransferase,,"19352641,22293616,29221124,30211949,3911025,",,b1066,ECK120000842
b1067,1126157,1126804,+,yceH,647,,DUF480 domain-containing protein YceH,,"24391520,",,b1067,ECK120001491
b1068,1126806,1127729,+,yceM,923,,putative oxidoreductase YceM,,,,b1068,ECK120003156
b1069,1127839,1129374,+,murJ,1535,,lipid II flippase MurJ,,"12975657,15819979,15930492,16672535,17021100,27537185,",,b1069,ECK120003157
b1070,1129414,1129830,-,flgN,416,,flagellar biosynthesis protein FlgN,,,,b1070,ECK120003158
b1071,1129835,1130128,-,flgM,293,,anti-sigma factor for FliA (&sigma;),[IE|W|Inferred from experiment],"17537210,23554966,23867204,",Weak,b1071,ECK120002689
b1072,1130204,1130863,-,flgA,659,,flagellar basal body P-ring formation protein FlgA,[IMP|W|Inferred from mutant phenotype],"25816013,3549689,",Weak,b1072,ECK120002678
b1073,1131018,1131434,+,flgB,416,,flagellar basal-body rod protein FlgB,[IMP|W|Inferred from mutant phenotype],"7007337,",Weak,b1073,ECK120002679
b1074,1131438,1131842,+,flgC,404,,flagellar basal-body rod protein FlgC,[IMP|W|Inferred from mutant phenotype],"7007337,",Weak,b1074,ECK120002680
b1075,1131854,1132549,+,flgD,695,,"flagellar biosynthesis, initiation of hook assembly",,,,b1075,ECK120002682
b1076,1132574,1133782,+,flgE,1208,,flagellar hook protein FlgE,,,,b1076,ECK120002683
b1077,1133802,1134557,+,flgF,755,,flagellar basal-body rod protein FlgF,[IMP|W|Inferred from mutant phenotype],"7007337,",Weak,b1077,ECK120002684
b1078,1134729,1135511,+,flgG,782,,flagellar basal-body rod protein FlgG,[IMP|W|Inferred from mutant phenotype],"1640458,2129540,25816013,28120828,28429800,7007337,",Weak,b1078,ECK120002685
b1079,1135564,1136262,+,flgH,698,,flagellar L-ring protein,,,,b1079,ECK120002686
b1080,1136274,1137371,+,flgI,1097,,flagellar P-ring protein,[IMP|W|Inferred from mutant phenotype],"18310027,20576620,3549690,",Weak,b1080,ECK120002687
b1081,1137371,1138312,+,flgJ,941,,putative peptidoglycan hydrolase FlgJ,[IMP|W|Inferred from mutant phenotype],"25816013,",Weak,b1081,ECK120002688
b1082,1138378,1140021,+,flgK,1643,,flagellar hook-filament junction protein 1,,,,b1082,ECK120001893
b1083,1140033,1140986,+,flgL,953,,flagellar hook-filament junction protein 2,,"8158647,",,b1083,ECK120001499
b1084,1141182,1144367,-,rne,3185,,ribonuclease E,,,,b1084,ECK120000850
b1085,1144502,1144822,+,yceQ,320,,DUF2655 domain-containing protein YceQ,,,,b1085,ECK120003159
b1086,1144940,1145899,+,rluC,959,,23S rRNA pseudouridine synthase,,"8871555,",,b1086,ECK120001102
b1087,1146011,1146595,-,yceF,584,,mGTP pyrophosphatase,,,,b1087,ECK120001402
b4418,1146589,1146757,+,sraB,168,,small RNA SraB,,"11448770,12202758,",,b4418,ECK120002575
b1088,1146794,1147315,+,yceD,521,,DUF177 domain-containing protein YceD,,,,b1088,ECK120001103
b1089,1147367,1147540,+,rpmF,173,,50S ribosomal subunit protein L32,,"1447160,2477362,2660905,29551268,321934,3315664,340794,362162,3884043,3889589,3911025,6209544,6365649,6750359,7024914,7635191,765258,813873,9642179,",,b1089,ECK120000881
b1090,1147621,1148691,+,plsX,1070,,putative phosphate acyltransferase,[IGI|W|Inferred from genetic interaction],"6094487,",Weak,b1090,ECK120001401
b1091,1148759,1149712,+,fabH,953,,3-oxoacyl-[acyl carrier protein] synthase 3,,"1551888,",,b1091,ECK120000271
b1092,1149728,1150657,+,fabD,929,,[acyl-carrier-protein] -malonyltransferase,,"1090584,16978582,22038854,22042840,22112270,22176949,22664193,25863265,26008118,27116968,27642613,6989835,7592873,9721301,",,b1092,ECK120001288
b1093,1150670,1151404,+,fabG,734,,3-oxoacyl-[acyl-carrier-protein] reductase FabG,,,,b1093,ECK120001289
b1094,1151615,1151851,+,acpP,236,,acyl carrier protein,[IE|W|Inferred from experiment],,Weak,b1094,ECK120002562
b1095,1151939,1153180,+,fabF,1241,,3-oxoacyl-[acyl carrier protein] synthase 2,,"7768872,9013860,",,b1095,ECK120002329
b1096,1153300,1154109,+,pabC,809,,aminodeoxychorismate lyase,,,,b1096,ECK120001449
b1097,1154112,1155134,+,mltG,1022,,endolytic murein transglycosylase,,,,b1097,ECK120001450
b1098,1155124,1155765,+,tmk,641,,,,,,b1098,ECK120002181
b1099,1155762,1156766,+,holB,1004,,DNA polymerase III subunit &delta;',,"16083981,8505303,8509334,",,b1099,ECK120001456
b1100,1156777,1157574,+,ycfH,797,,putative metal-dependent hydrolase YcfH,,,,b1100,ECK120002182
b1101,1157869,1159302,+,ptsG,1433,,glucose-specific PTS enzyme IIBC component,,"10913077,11032802,11032803,11361064,16204242,17158705,20516600,21996078,26285685,3023349,30729074,30800588,8089109,8112346,8784182,9371775,9575173,9748244,9767573,9781886,",,b1101,ECK120000778
b1102,1159362,1161551,-,fhuE,2189,,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,,,,b1102,ECK120000300
b1103,1161885,1162244,+,hinT,359,,purine nucleoside phosphoramidase,,,,b1103,ECK120002067
b1104,1162247,1162624,+,ycfL,377,,DUF1425 domain-containing protein YcfL,,,,b1104,ECK120003160
b1105,1162638,1163279,+,lpoB,641,,outer membrane lipoprotein - activator of MrcB activity,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern],[APPHINH|S|Assay of protein purified to homogeneity from its native host]","21183073,21183074,24821816,30233559,30622193,",Strong,b1105,ECK120003161
b1106,1163260,1164084,+,thiK,824,,thiamine kinase,,,,b1106,ECK120003162
b1107,1164095,1165120,+,nagZ,1025,,&beta;-N-acetylhexosaminidase,,,,b1107,ECK120003163
b1108,1165143,1165685,+,ycfP,542,,UPF0227 protein YcfP,,,,b1108,ECK120003164
b1109,1166085,1167389,+,ndh,1304,,NADH:quinone oxidoreductase II,,"11807064,15625321,2050655,",,b1109,ECK120000642
b1110,1167599,1168138,+,ycfJ,539,,PF05433 family protein YcfJ,[IMP|W|Inferred from mutant phenotype],"14731270,",Weak,b1110,ECK120002297
b1111,1168200,1168832,-,comR,632,,DNA-binding transcriptional repressor ComR,"[AIFS|W|Automated inference of function from sequence],[IEP|W|Inferred from expression pattern],[APPHINH|S|Assay of protein purified to homogeneity from its native host]","15556475,22089859,",Strong,b1111,ECK120003165
b1112,1169073,1169330,+,bhsA,257,,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,"[IMP|W|Inferred from mutant phenotype],[IEP|W|Inferred from expression pattern]","14731270,17293424,22089859,",Weak,b1112,ECK120003166
b1113,1169412,1170374,-,ldtC,962,,"L,D-transpeptidase LdtC",,"15774872,31743648,",,b1113,ECK120003167
b1114,1170518,1173964,-,mfd,3446,,transcription-repair coupling factor,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity]","12787667,1438310,15687384,1763073,18707026,1896474,19700770,20638914,21145481,22427630,2250027,22749141,23756341,31383358,32719356,8465200,",Strong,b1114,ECK120001567
b1115,1174092,1175165,-,ycfT,1073,,inner membrane protein YcfT,[AIFS|W|Automated inference of function from sequence],"15044727,24391520,",Weak,b1115,ECK120003168
b1116,1175427,1176626,+,lolC,1199,,lipoprotein release complex - inner membrane subunit,,,,b1116,ECK120003169
b1117,1176619,1177320,+,lolD,701,,lipoprotein release complex - ATP binding subunit,,,,b1117,ECK120003170
b1118,1177320,1178564,+,lolE,1244,,lipoprotein release complex - inner membrane subunit,,,,b1118,ECK120003171
b1119,1178593,1179504,+,nagK,911,,#NAME?,,"21415116,",,b1119,ECK120003172
b1120,1179520,1180359,+,cobB,839,,CobB-S,,,,b1120,ECK120003173
b1120,1179520,1180359,+,cobB,839,,protein-lysine deacetylase/desuccinylase/lipoamidase,,,,b1120,ECK120003173
b1121,1180479,1181267,-,ycfZ,788,,putative inner membrane protein,,,,b1121,ECK120003174
